date,parent username,channel username,channel id,product,impressions,estimated earnings,# of sales
2015-12-22,cas-linh,miller-everett,x1m1rug,Video Monetization,315,0.2,None
2015-12-18,cas-linh,miller-everett,x1m1rug,Video Monetization,296,0.22,None
2015-12-17,cas-linh,miller-everett,x1m1rug,Video Monetization,292,0.91,None
2015-12-21,cas-linh,miller-everett,x1m1rug,Video Monetization,274,0.19,None
2015-12-20,cas-linh,miller-everett,x1m1rug,Video Monetization,185,0.13,None
2015-12-19,cas-linh,animecollections,x1m1e9o,Video Monetization,316,1.5,None
2015-12-22,cas-linh,animecollections,x1m1e9o,Video Monetization,327,1.51,None
2015-12-18,cas-linh,animecollections,x1m1e9o,Video Monetization,177,0.82,None
2015-12-17,cas-linh,animecollections,x1m1e9o,Video Monetization,125,0.7,None
2015-12-21,cas-linh,animecollections,x1m1e9o,Video Monetization,295,1.28,None
2015-12-20,cas-linh,animecollections,x1m1e9o,Video Monetization,326,1.65,None
2015-12-22,cas-linh,lionslifechannel,x1p0x2c,Video Monetization,1,0,None
2015-12-19,cas-linh,MovieChannel1,x1lz80s,Video Monetization,94,0.25,None
2015-12-22,cas-linh,MovieChannel1,x1lz80s,Video Monetization,94,0.2,None
2015-12-18,cas-linh,MovieChannel1,x1lz80s,Video Monetization,80,0.18,None
2015-12-17,cas-linh,MovieChannel1,x1lz80s,Video Monetization,64,0.11,None
2015-12-21,cas-linh,MovieChannel1,x1lz80s,Video Monetization,85,0.27,None
2015-12-20,cas-linh,MovieChannel1,x1lz80s,Video Monetization,82,0.13,None
2015-12-19,cas-linh,anacondavn,x1lz35h,Video Monetization,8,0.04,None
2015-12-22,cas-linh,anacondavn,x1lz35h,Video Monetization,10,0.05,None
2015-12-18,cas-linh,anacondavn,x1lz35h,Video Monetization,28,0.17,None
2015-12-17,cas-linh,anacondavn,x1lz35h,Video Monetization,27,0.13,None
2015-12-21,cas-linh,anacondavn,x1lz35h,Video Monetization,4,0.01,None
2015-12-20,cas-linh,anacondavn,x1lz35h,Video Monetization,13,0.02,None
2015-12-18,cas-linh,surememberher,x1m0ytg,Video Monetization,4,0.02,None
2015-12-22,cas-linh,surememberher,x1m0ytg,Video Monetization,2,0,None
2015-12-21,cas-linh,surememberher,x1m0ytg,Video Monetization,2,0,None
2015-12-20,cas-linh,surememberher,x1m0ytg,Video Monetization,2,0.01,None
2015-12-22,cas-linh,TVtvchannel,x1oynoi,Video Monetization,1014,0.71,None
2015-12-19,cas-linh,thegioigiaitri,x1lz724,Video Monetization,118,0.28,None
2015-12-22,cas-linh,thegioigiaitri,x1lz724,Video Monetization,79,0.08,None
2015-12-18,cas-linh,thegioigiaitri,x1lz724,Video Monetization,40,0.06,None
2015-12-17,cas-linh,thegioigiaitri,x1lz724,Video Monetization,34,0.02,None
2015-12-21,cas-linh,thegioigiaitri,x1lz724,Video Monetization,83,0.07,None
2015-12-20,cas-linh,thegioigiaitri,x1lz724,Video Monetization,46,0.05,None
